file_names,satellite,year,month,total_rows,missing_values
2000/g10_xrs_1m_20001201_20001231.csv,goes10,2000,12,44640,31
2001/g10_xrs_1m_20010101_20010131.csv,goes10,2001,1,44640,152
2001/g10_xrs_1m_20010201_20010228.csv,goes10,2001,2,40320,234
2001/g08_xrs_1m_20010301_20010331.csv,goes08,2001,3,44640,2040
2001/g10_xrs_1m_20010401_20010430.csv,goes10,2001,4,43200,578
2001/g08_xrs_1m_20010501_20010531.csv,goes08,2001,5,44640,136
2001/g08_xrs_1m_20010601_20010630.csv,goes08,2001,6,43200,223
2001/g10_xrs_1m_20010701_20010731.csv,goes10,2001,7,44640,157
2001/g10_xrs_1m_20010801_20010831.csv,goes10,2001,8,44640,130
2001/g08_xrs_1m_20010901_20010930.csv,goes08,2001,9,43200,1922
2001/g10_xrs_1m_20011001_20011031.csv,goes10,2001,10,44640,1131
2001/g08_xrs_1m_20011101_20011130.csv,goes08,2001,11,43200,28
2001/g10_xrs_1m_20011201_20011231.csv,goes10,2001,12,44640,54
2002/g10_xrs_1m_20020101_20020131.csv,goes10,2002,1,44640,150
2002/g10_xrs_1m_20020201_20020228.csv,goes10,2002,2,40320,138
2002/g08_xrs_1m_20020301_20020331.csv,goes08,2002,3,44640,2071
2002/g10_xrs_1m_20020401_20020430.csv,goes10,2002,4,43200,681
2002/g10_xrs_1m_20020501_20020531.csv,goes10,2002,5,44640,37
2002/g08_xrs_1m_20020601_20020630.csv,goes08,2002,6,43200,94
2002/g10_xrs_1m_20020701_20020731.csv,goes10,2002,7,44640,147
2002/g08_xrs_1m_20020801_20020831.csv,goes08,2002,8,44640,124
2002/g08_xrs_1m_20020901_20020930.csv,goes08,2002,9,43200,1935
2002/g10_xrs_1m_20021001_20021031.csv,goes10,2002,10,44640,958
2002/g08_xrs_1m_20021101_20021130.csv,goes08,2002,11,43200,28
2002/g10_xrs_1m_20021201_20021231.csv,goes10,2002,12,44640,27
2003/g10_xrs_1m_20030101_20030131.csv,goes10,2003,1,44640,85
2003/g12_xrs_1m_20030201_20030228.csv,goes12,2003,2,40320,70
2003/g12_xrs_1m_20030301_20030331.csv,goes12,2003,3,44640,2163
2003/g10_xrs_1m_20030401_20030430.csv,goes10,2003,4,43200,1938
2003/g12_xrs_1m_20030501_20030531.csv,goes12,2003,5,44640,94
2003/g12_xrs_1m_20030601_20030630.csv,goes12,2003,6,43200,1623
2003/g10_xrs_1m_20030701_20030731.csv,goes10,2003,7,44640,36
2003/g10_xrs_1m_20030801_20030831.csv,goes10,2003,8,44640,156
2003/g12_xrs_1m_20030901_20030930.csv,goes12,2003,9,43200,2102
2003/g12_xrs_1m_20031001_20031031.csv,goes12,2003,10,44640,957
2003/g10_xrs_1m_20031101_20031130.csv,goes10,2003,11,43200,41
2003/g12_xrs_1m_20031201_20031231.csv,goes12,2003,12,44640,291
2004/g12_xrs_1m_20040101_20040131.csv,goes12,2004,1,44640,24
2004/g12_xrs_1m_20040201_20040229.csv,goes12,2004,2,41760,230
2004/g12_xrs_1m_20040301_20040331.csv,goes12,2004,3,44640,2184
2004/g10_xrs_1m_20040401_20040430.csv,goes10,2004,4,43200,550
2004/g12_xrs_1m_20040501_20040531.csv,goes12,2004,5,44640,24
2004/g12_xrs_1m_20040601_20040630.csv,goes12,2004,6,43200,31
2004/g10_xrs_1m_20040701_20040731.csv,goes10,2004,7,44640,42
2004/g10_xrs_1m_20040801_20040831.csv,goes10,2004,8,44640,131
2004/g12_xrs_1m_20040901_20040930.csv,goes12,2004,9,43200,2309
2004/g12_xrs_1m_20041001_20041031.csv,goes12,2004,10,44640,833
2004/g12_xrs_1m_20041101_20041130.csv,goes12,2004,11,43200,170
2004/g10_xrs_1m_20041201_20041231.csv,goes10,2004,12,44640,30
2005/g12_xrs_1m_20050101_20050131.csv,goes12,2005,1,44640,24
2005/g12_xrs_1m_20050201_20050228.csv,goes12,2005,2,40320,190
2005/g12_xrs_1m_20050301_20050331.csv,goes12,2005,3,44640,2173
2005/g12_xrs_1m_20050401_20050430.csv,goes12,2005,4,43200,720
2005/g12_xrs_1m_20050501_20050531.csv,goes12,2005,5,44640,167
2005/g10_xrs_1m_20050601_20050630.csv,goes10,2005,6,43200,224
2005/g10_xrs_1m_20050701_20050731.csv,goes10,2005,7,44640,107
2005/g12_xrs_1m_20050801_20050831.csv,goes12,2005,8,44640,73
2005/g10_xrs_1m_20050901_20050930.csv,goes10,2005,9,43200,2097
2005/g10_xrs_1m_20051001_20051031.csv,goes10,2005,10,44640,852
2005/g12_xrs_1m_20051101_20051130.csv,goes12,2005,11,43200,30
2005/g12_xrs_1m_20051201_20051231.csv,goes12,2005,12,44640,261
2006/g12_xrs_1m_20060101_20060131.csv,goes12,2006,1,44640,48
2006/g10_xrs_1m_20060201_20060228.csv,goes10,2006,2,40320,288
2006/g12_xrs_1m_20060301_20060331.csv,goes12,2006,3,44640,2169
2006/g10_xrs_1m_20060401_20060430.csv,goes10,2006,4,43200,635
2006/g10_xrs_1m_20060501_20060531.csv,goes10,2006,5,44640,27
2006/g12_xrs_1m_20060601_20060630.csv,goes12,2006,6,43200,105
2006/g12_xrs_1m_20060701_20060731.csv,goes12,2006,7,44640,24
2006/g11_xrs_1m_20060801_20060831.csv,goes11,2006,8,44640,149
2006/g12_xrs_1m_20060901_20060930.csv,goes12,2006,9,43200,2064
2006/g11_xrs_1m_20061001_20061031.csv,goes11,2006,10,44640,1055
2006/g11_xrs_1m_20061101_20061130.csv,goes11,2006,11,43200,116
2006/g11_xrs_1m_20061201_20061231.csv,goes11,2006,12,44640,144
2007/g12_xrs_1m_20070101_20070131.csv,goes12,2007,1,44640,113
2007/g12_xrs_1m_20070201_20070228.csv,goes12,2007,2,40320,174
2007/g12_xrs_1m_20070301_20070331.csv,goes12,2007,3,44640,2178
2007/g10_xrs_1m_20070401_20070430.csv,goes10,2007,4,43200,581
2007/g11_xrs_1m_20070501_20070531.csv,goes11,2007,5,44640,531
2007/g10_xrs_1m_20070601_20070630.csv,goes10,2007,6,43200,146
2007/g11_xrs_1m_20070701_20070731.csv,goes11,2007,7,44640,29
2007/g11_xrs_1m_20070801_20070831.csv,goes11,2007,8,44640,135
2007/g11_xrs_1m_20070901_20070930.csv,goes11,2007,9,43200,2009
2007/g10_xrs_1m_20071001_20071031.csv,goes10,2007,10,44640,623
2007/g11_xrs_1m_20071101_20071130.csv,goes11,2007,11,43200,60
2007/g11_xrs_1m_20071201_20071231.csv,goes11,2007,12,44640,149
2008/g11_xrs_1m_20080101_20080131.csv,goes11,2008,1,44640,118
2008/g10_xrs_1m_20080201_20080229.csv,goes10,2008,2,41760,14426
2008/g10_xrs_1m_20080301_20080331.csv,goes10,2008,3,44640,2432
2008/g10_xrs_1m_20080401_20080430.csv,goes10,2008,4,43200,312
2008/g10_xrs_1m_20080501_20080531.csv,goes10,2008,5,44640,206
2008/g10_xrs_1m_20080601_20080630.csv,goes10,2008,6,43200,561
2008/g10_xrs_1m_20080701_20080731.csv,goes10,2008,7,44640,28
2008/g10_xrs_1m_20080801_20080831.csv,goes10,2008,8,44640,705
2008/g10_xrs_1m_20080901_20080930.csv,goes10,2008,9,43200,2205
2008/g10_xrs_1m_20081001_20081031.csv,goes10,2008,10,44640,476
2008/g10_xrs_1m_20081101_20081130.csv,goes10,2008,11,43200,101
2008/g10_xrs_1m_20081201_20081231.csv,goes10,2008,12,44640,891
2009/g10_xrs_1m_20090101_20090131.csv,goes10,2009,1,44640,159
2009/g10_xrs_1m_20090201_20090228.csv,goes10,2009,2,40320,632
2009/g10_xrs_1m_20090301_20090331.csv,goes10,2009,3,44640,2223
2009/g10_xrs_1m_20090401_20090430.csv,goes10,2009,4,43200,651
2009/g10_xrs_1m_20090501_20090531.csv,goes10,2009,5,44640,23
2009/g10_xrs_1m_20090601_20090630.csv,goes10,2009,6,43200,326
2009/g10_xrs_1m_20090701_20090731.csv,goes10,2009,7,44640,24
2009/g10_xrs_1m_20090801_20090831.csv,goes10,2009,8,44640,2127
2009/g14_xrs_1m_20090901_20090930.csv,goes14,2009,9,43200,2177
2009/g10_xrs_1m_20091001_20091031.csv,goes10,2009,10,44640,685
2009/g10_xrs_1m_20091101_20091130.csv,goes10,2009,11,43200,163
2009/g10_xrs_1m_20091201_20091231.csv,goes10,2009,12,44640,44303
2010/g14_xrs_1m_20100101_20100131.csv,goes14,2010,1,44640,117
2010/g14_xrs_1m_20100201_20100228.csv,goes14,2010,2,40320,79
2010/g14_xrs_1m_20100301_20100331.csv,goes14,2010,3,44640,241
2010/g14_xrs_1m_20100401_20100430.csv,goes14,2010,4,43200,96
2010/g14_xrs_1m_20100501_20100531.csv,goes14,2010,5,44640,102
2010/g14_xrs_1m_20100601_20100630.csv,goes14,2010,6,43200,7
2010/g14_xrs_1m_20100701_20100731.csv,goes14,2010,7,44640,448
2010/g14_xrs_1m_20100801_20100831.csv,goes14,2010,8,44640,93
2010/g14_xrs_1m_20100901_20100930.csv,goes14,2010,9,43200,2011
2010/g15_xrs_1m_20101001_20101031.csv,goes15,2010,10,44640,883
2010/g15_xrs_1m_20101101_20101130.csv,goes15,2010,11,43200,53
2010/g15_xrs_1m_20101201_20101231.csv,goes15,2010,12,44640,136
2011/g15_xrs_1m_20110101_20110131.csv,goes15,2011,1,44640,45
2011/g15_xrs_1m_20110201_20110228.csv,goes15,2011,2,40320,257
2011/g15_xrs_1m_20110301_20110331.csv,goes15,2011,3,44640,571
2011/g15_xrs_1m_20110401_20110430.csv,goes15,2011,4,43200,468
2011/g15_xrs_1m_20110501_20110531.csv,goes15,2011,5,44640,64
2011/g15_xrs_1m_20110601_20110630.csv,goes15,2011,6,43200,94
2011/g15_xrs_1m_20110701_20110731.csv,goes15,2011,7,44640,57
2011/g15_xrs_1m_20110801_20110831.csv,goes15,2011,8,44640,131
2011/g15_xrs_1m_20110901_20110930.csv,goes15,2011,9,43200,1940
2011/g15_xrs_1m_20111001_20111031.csv,goes15,2011,10,44640,1061
2011/g15_xrs_1m_20111101_20111130.csv,goes15,2011,11,43200,36
2011/g15_xrs_1m_20111201_20111231.csv,goes15,2011,12,44640,78
2012/g15_xrs_1m_20120101_20120131.csv,goes15,2012,1,44640,51
